fixture_id,timestamp,venue,api_home_team_id,api_away_team_id,home_score,away_score
710556,1628881200,10503,55,42,2,0
710557,1628949600,512,44,51,1,2
710558,1628949600,519,49,52,3,0
710559,1628949600,8560,45,41,3,1
710560,1628949600,547,46,39,1,0
710561,1628940600,556,33,63,5,1
710562,1629032400,562,34,48,2,4
710563,1628958600,565,71,40,0,3
710564,1629041400,593,47,50,1,0
710565,1628949600,596,38,66,3,2
710566,1629646200,494,42,49,0,2
710567,1629554400,495,66,34,2,0
710568,1629563400,508,51,38,2,0
710569,1629554400,525,52,55,0,0
710570,1629554400,546,63,45,2,2
710571,1629545400,550,40,44,2,0
710572,1629554400,555,50,71,5,0
710573,1629637200,585,41,33,1,1
710574,1629745200,598,48,46,4,1
710575,1629637200,600,39,47,0,1
710576,1630159200,495,66,55,1,1
710577,1630159200,508,51,45,0,2
710578,1630242000,512,44,63,1,1
710579,1630168200,550,40,49,1,1
710580,1630150200,555,50,42,5,0
710581,1630159200,562,34,41,2,2
710582,1630159200,565,71,46,1,2
710583,1630242000,593,47,38,1,0
710584,1630159200,598,48,52,2,2
710585,1630251000,600,39,33,0,1
710586,1631368800,494,42,71,1,0
710587,1631368800,10503,55,51,0,1
710588,1631377800,519,49,66,3,0
710589,1631359800,525,52,47,3,0
710590,1631559600,8560,45,44,3,1
710591,1631460600,546,63,40,0,3
710592,1631368800,547,46,50,0,1
710593,1631368800,556,33,34,4,1
710594,1631368800,585,41,48,0,0
710595,1631368800,596,38,39,0,2
710596,1631982600,495,66,45,3,0
710597,1632056400,508,51,46,2,1
710598,1631973600,512,44,42,0,1
710599,1631973600,550,40,52,3,0
710600,1631973600,555,50,41,0,0
710601,1631905200,562,34,63,1,1
710602,1631973600,565,71,38,1,3
710603,1632065400,593,47,49,0,3
710604,1632056400,598,48,33,1,2
710605,1631964600,600,39,55,0,2
710606,1632670200,494,42,47,3,1
710607,1632587400,10503,55,40,3,3
710608,1632569400,519,49,50,0,1
710609,1632769200,525,52,51,1,1
710610,1632578400,8560,45,71,2,0
710611,1632578400,546,63,48,1,2
710612,1632578400,547,46,44,2,2
710613,1632569400,556,33,66,0,1
710614,1632661200,585,41,39,0,1
710615,1632578400,596,38,34,1,1
710616,1633192200,508,51,42,0,0
710617,1633183200,512,44,71,0,0
710618,1633183200,519,49,41,3,1
710619,1633266000,525,52,46,2,2
710620,1633183200,546,63,38,1,0
710621,1633275000,550,40,50,2,2
710622,1633174200,556,33,45,1,1
710623,1633266000,593,47,66,2,1
710624,1633266000,598,48,55,1,2
710625,1633183200,600,39,34,2,1
710626,1634583600,494,42,52,2,2
710627,1634392800,495,66,39,2,3
710628,1634401800,10503,55,49,0,1
710629,1634475600,8560,45,48,0,1
710630,1634392800,547,46,33,4,2
710631,1634392800,555,50,44,2,0
710632,1634484600,562,34,47,2,3
710633,1634392800,565,71,51,0,0
710634,1634392800,585,41,63,1,0
710635,1634383800,596,38,40,0,5
710636,1634929200,494,42,66,3,1
710637,1635080400,10503,55,46,1,2
710638,1635006600,508,51,50,1,4
710639,1634988600,519,49,71,7,0
710640,1634997600,525,52,34,1,1
710641,1634997600,8560,45,38,2,5
710642,1634997600,546,63,39,1,1
710643,1635089400,556,33,40,0,5
710644,1634997600,585,41,44,2,2
710645,1635080400,598,48,47,1,0
710646,1635697800,495,66,48,1,4
710647,1635602400,512,44,55,3,1
710648,1635593400,547,46,42,0,2
710649,1635602400,550,40,51,2,2
710650,1635602400,555,50,52,0,2
710651,1635602400,562,34,49,0,3
710652,1635688800,565,71,63,1,2
710653,1635611400,593,47,33,0,3
710654,1635602400,596,38,41,0,1
710655,1635796800,600,39,45,2,1
710656,1636293600,494,42,38,1,0
710657,1636210800,10503,55,71,1,2
710658,1636219800,508,51,34,1,1
710659,1636210800,519,49,44,1,1
710660,1636210800,525,52,39,2,0
710661,1636293600,8560,45,47,0,0
710662,1636293600,546,63,46,1,1
710663,1636201800,556,33,50,0,2
710664,1636142400,585,41,66,1,0
710665,1636302600,598,48,40,3,2
