id,team,first_name,second_name,web_name,element_type,squad_number,photo
565,5,Owen,Dodgson,Dodgson,2,,461567.jpg
575,5,Aaron,Lennon,Lennon,3,,17349.jpg
578,5,Maxwel,Cornet,Cornet,3,,149519.jpg
585,5,Connor,Roberts,Roberts,2,,192290.jpg
119,6,César,Azpilicueta,Azpilicueta,2,,41328.jpg
120,6,Olivier,Giroud,Giroud,4,,44346.jpg
121,6,Thiago,Emiliano da Silva,Thiago Silva,2,,51090.jpg
122,6,Marcos,Alonso,Alonso,2,,82263.jpg
123,6,Jorge Luiz,Frello Filho,Jorginho,3,,85955.jpg
124,6,Ross,Barkley,Barkley,3,,88894.jpg
125,6,Mateo,Kovacic,Kovacic,3,,91651.jpg
126,6,Michy,Batshuayi,Batshuayi,4,,94245.jpg
127,6,Antonio,Rüdiger,Rüdiger,2,,102380.jpg
129,6,Kepa,Arrizabalaga,Arrizabalaga,1,,109745.jpg
130,6,N'Golo,Kanté,Kanté,3,,116594.jpg
131,6,Hakim,Ziyech,Ziyech,3,,124183.jpg
132,6,Ruben,Loftus-Cheek,Loftus-Cheek,3,,126187.jpg
133,6,Andreas,Christensen,Christensen,2,,135363.jpg
134,6,Timo,Werner,Werner,4,,165153.jpg
135,6,Benjamin,Chilwell,Chilwell,2,,172850.jpg
136,6,Tammy,Abraham,Abraham,4,,173879.jpg
137,6,Christian,Pulisic,Pulisic,3,,176413.jpg
138,6,Mason,Mount,Mount,3,,184341.jpg
139,6,Ethan,Ampadu,Ampadu,2,,199598.jpg
140,6,Callum,Hudson-Odoi,Hudson-Odoi,3,,209046.jpg
141,6,Kai,Havertz,Havertz,3,,219847.jpg
142,6,Reece,James,James,2,,225796.jpg
143,6,Edouard,Mendy,Mendy,1,,228286.jpg
501,6,Malang,Sarr,Sarr,2,,204727.jpg
527,6,Trevoh,Chalobah,Chalobah,2,,180736.jpg
529,6,Romelu,Lukaku,Lukaku,4,,66749.jpg
539,6,Emerson,Palmieri dos Santos,Emerson,2,,109533.jpg
592,6,Saúl,Ñíguez,Saúl,3,,89335.jpg
606,6,Marcus,Bettinelli,Bettinelli,1,,122074.jpg
144,7,Conor,Gallagher,Gallagher,3,,232787.jpg
146,7,Vicente,Guaita,Guaita,1,,40836.jpg
147,7,James,Tomkins,Tomkins,2,,49413.jpg
148,7,James,McArthur,McArthur,3,,50471.jpg
149,7,Christian,Benteke,Benteke,4,,54861.jpg
150,7,Cheikhou,Kouyaté,Kouyaté,2,,55037.jpg
151,7,Martin,Kelly,Kelly,2,,58786.jpg
152,7,Luka,Milivojevic,Milivojevic,3,,66975.jpg
153,7,Jordan,Ayew,Ayew,4,,80146.jpg
154,7,Wilfried,Zaha,Zaha,3,,82403.jpg
155,7,Jeffrey,Schlupp,Schlupp,3,,86417.jpg
156,7,Jack,Butland,Butland,1,,105666.jpg
157,7,Jairo,Riedewald,Riedewald,3,,173954.jpg
158,7,Jarosław,Jach,Jach,2,,185478.jpg
159,7,Jean-Philippe,Mateta,Mateta,4,,231747.jpg
160,7,Eberechi,Eze,Eze,3,,232413.jpg
161,7,Nathan,Ferguson,Ferguson,2,,232423.jpg
162,7,Tyrick,Mitchell,Mitchell,2,,244723.jpg
386,7,Will,Hughes,Hughes,3,,108413.jpg
464,7,Michael,Olise,Olise,3,,443661.jpg
474,7,Joel,Ward,Ward,2,,55494.jpg
477,7,Marc,Guéhi,Guéhi,2,,209036.jpg
488,7,Joachim,Andersen,Andersen,2,,174874.jpg
493,7,Nathaniel,Clyne,Clyne,2,,57328.jpg
540,7,Reece,Hannam,Hannam,2,,223824.jpg
541,7,Jesurun,Rak-Sakyi,Rak-Sakyi,3,,450542.jpg
542,7,Robert,Street,Street,4,,448482.jpg
543,7,Scott,Banks,Banks,3,,462831.jpg
561,7,Remi,Matthews,Matthews,1,,169593.jpg
586,7,Odsonne,Edouard,Edouard,4,,199670.jpg
163,8,Fabian,Delph,Delph,3,,41823.jpg
164,8,Gylfi,Sigurdsson,Sigurdsson,3,,55422.jpg
165,8,Seamus,Coleman,Coleman,2,,59949.jpg
166,8,James,Rodríguez,James,3,,60025.jpg
167,8,Bernard,Anício Caldeira Duarte,Bernard,3,,100649.jpg
168,8,Lucas,Digne,Digne,2,,101188.jpg
169,8,Michael,Keane,Keane,2,,106611.jpg
170,8,Jordan,Pickford,Pickford,1,,111234.jpg
171,8,Allan,Marques Loureiro,Allan,3,,119765.jpg
172,8,André Filipe,Tavares Gomes,André Gomes,3,,120250.jpg
173,8,Abdoulaye,Doucouré,Doucouré,3,,121599.jpg
174,8,Alex,Iwobi,Iwobi,3,,153133.jpg
175,8,Yerry,Mina,Mina,2,,164511.jpg
176,8,Tom,Davies,Davies,3,,173807.jpg
177,8,Dominic,Calvert-Lewin,Calvert-Lewin,4,,177815.jpg
178,8,Mason,Holgate,Holgate,2,,194164.jpg
179,8,Ben,Godfrey,Godfrey,2,,198826.jpg
180,8,Richarlison,de Andrade,Richarlison,4,,212319.jpg
