id,minutes,yellow_cards,red_cards,penalties_missed,penalties_saved,goals_scored,assists,clean_sheets,goals_conceded,saves,own_goals
178,180,0,0,0,0,0,0,1,1,0,0
179,0,0,0,0,0,0,0,0,0,0,0
180,268,2,0,0,0,1,1,1,3,0,0
181,0,0,0,0,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0,0,0,0,0
482,174,0,0,0,0,0,1,1,1,0,0
484,244,0,0,0,0,2,0,1,3,0,0
502,0,0,0,0,0,0,0,0,0,0,0
503,1,0,0,0,0,0,0,0,0,0,0
504,0,0,0,0,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,0,0
564,1,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0,0
571,0,0,0,0,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0,0,0,0,0
200,270,0,0,0,0,0,0,1,5,9,0
201,0,0,0,0,0,0,0,0,0,0,0
202,90,1,0,0,0,1,0,0,1,0,0
203,0,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0,0
205,260,1,0,0,0,2,1,1,4,0,0
206,0,0,0,0,0,0,0,0,0,0,0
207,190,1,0,0,0,0,2,1,4,0,0
208,270,0,0,0,0,0,0,1,5,0,0
209,79,0,0,0,0,0,0,0,1,0,0
210,270,0,0,0,0,1,0,1,5,0,0
211,100,0,1,0,0,0,0,1,4,0,0
212,226,0,0,0,0,0,0,1,4,0,0
213,50,0,0,0,0,0,0,0,1,0,0
214,0,0,0,0,0,0,0,0,0,0,0
215,200,0,0,0,0,0,0,1,3,0,0
216,270,0,0,0,0,0,0,1,5,0,0
217,270,0,0,0,0,0,0,1,5,0,0
218,0,0,0,0,0,0,0,0,0,0,0
219,270,0,0,0,0,0,0,1,5,0,0
220,0,0,0,0,0,0,0,0,0,0,0
340,28,0,0,0,0,0,0,0,0,0,0
455,26,0,0,0,0,0,0,0,2,0,0
458,37,0,0,0,0,0,0,0,1,0,0
473,0,0,0,0,0,0,0,0,0,0,0
505,4,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0
184,270,2,0,0,0,0,1,0,8,0,0
185,270,0,0,0,0,1,0,0,8,0,0
186,149,0,0,0,0,1,0,0,7,0,0
187,117,1,0,0,0,0,0,0,2,0,0
188,270,0,0,0,0,0,1,0,8,0,0
189,256,1,0,0,0,1,1,0,8,0,0
190,64,0,0,0,0,0,0,0,1,0,0
191,180,1,0,0,0,0,0,0,3,0,0
192,21,0,0,0,0,0,0,0,0,0,0
193,60,0,0,0,0,0,0,0,0,0,0
194,90,0,0,0,0,0,0,0,5,0,0
195,0,0,0,0,0,0,0,0,0,0,0
196,270,1,0,0,0,1,0,0,8,0,0
197,55,0,0,0,0,0,1,0,0,0,0
198,270,1,0,0,0,0,0,0,8,0,0
199,270,0,0,0,0,0,0,0,8,11,0
267,248,0,0,0,0,0,0,0,8,0,0
